Trace_Wire_ID,Transaction_Date
867616,2007-08-28
482578,2013-07-31
019069,2004-11-06
605278,2002-07-15
321093,2004-02-06
426520,2005-01-31
959619,2007-01-07
770910,2007-01-08
010702,2007-01-09
656027,2006-05-01
743813,2016-04-24
315302,2009-08-27
306580,2013-02-25
316854,2014-12-16
868383,2004-03-09
352849,2002-07-27
840067,2015-03-28
843775,2003-08-19
248845,2006-12-20
318529,2015-10-02
459220,2018-10-07
645729,2017-04-14
470366,2014-04-19
899885,2018-02-19
210041,2002-05-17
689041,2002-06-25
728831,2017-03-28
531785,2015-04-06
756848,2014-11-10
722684,2013-01-06
159705,2012-01-03
411707,2004-08-23
697095,2003-11-17
213691,2005-04-25
105316,2018-06-19
510864,2014-04-05
413922,2005-02-05
570564,2006-09-12
726441,2003-03-22
211661,2018-04-05
315192,2003-08-07
806632,2002-01-09
287293,2008-01-07
958679,2016-09-06
623390,2018-12-26
571933,2011-11-17
577377,2007-08-29
406597,2008-12-16
149009,2003-05-02
604571,2009-09-18
123823,2005-09-27
368723,2018-03-11
498447,2012-12-27
861215,2004-07-18
973232,2015-07-25
721034,2002-12-20
686489,2005-09-17
334601,2018-12-28
581762,2012-06-28
958698,2012-11-02
062888,2016-12-13
340552,2012-08-25
515996,2008-12-02
335458,2004-03-25
195180,2011-11-29
766346,2008-11-10
505796,2009-04-26
789942,2018-10-24
674330,2007-02-02
419261,2004-12-24
396536,2002-11-21
106176,2012-02-04
049468,2006-02-22
547154,2017-04-09
319237,2013-02-14
215842,2008-06-23
955315,2012-04-13
810587,2005-02-23
459330,2013-04-01
171082,2003-03-25
690905,2010-09-06
578172,2009-12-28
894221,2013-01-16
843302,2013-01-17
651514,2013-01-18
885473,2013-01-19
988663,2013-01-20
050135,2002-08-10
142473,2014-12-06
699827,2018-09-07
632932,2012-11-11
473060,2007-10-21
097127,2004-07-13
772973,2009-11-28
435535,2017-06-01
973147,2006-09-18
149938,2013-06-16
594690,2009-10-12
681306,2002-08-12
191693,2015-09-03
660463,2015-01-10
439906,2013-11-28
053702,2014-05-30
614333,2015-04-02
238962,2011-07-19
649955,2013-07-22
429630,2016-10-22
386926,2016-04-17
218519,2017-11-19
252634,2016-12-09
614986,2013-06-01
890133,2002-09-23
623254,2011-07-12
850977,2008-07-29
736738,2008-05-24
053498,2012-08-04
526568,2017-11-11
262305,2007-07-15
877991,2002-01-09
465501,2017-08-26
995289,2005-02-01
821511,2003-10-01
557120,2007-10-22
406288,2014-10-08
430322,2002-11-26
918364,2005-12-30
758708,2012-10-24
382991,2017-09-08
854863,2004-10-14
842935,2010-06-23
585573,2004-10-27
011301,2017-01-06
083594,2010-10-03
881908,2007-03-01
560730,2002-01-16
263670,2002-01-05
092315,2007-06-20
409785,2015-06-21
048138,2011-05-08
733359,2009-08-02
510214,2013-05-15
739968,2015-07-12
504006,2010-08-18
531001,2007-11-23
475971,2019-01-03
805551,2009-11-24
631509,2016-06-01
226173,2011-03-16
047027,2013-08-11
319917,2003-04-26
302695,2003-04-14
291169,2013-07-11
305874,2014-11-01
963510,2009-06-27
206961,2015-10-29
681930,2013-07-19
382916,2017-05-27
047346,2007-10-22
362042,2003-10-25
957644,2007-10-20
884340,2012-01-15
448625,2006-06-02
481725,2010-06-08
026745,2014-09-24
240178,2002-10-09
432351,2003-04-21
215930,2010-12-10
458031,2013-04-05
400530,2007-10-11
474879,2006-11-25
473065,2008-04-10
903115,2002-03-31
558304,2004-01-15
316125,2013-12-28
706014,2014-06-07
771343,2012-04-16
334435,2015-08-10
723015,2003-09-27
202459,2013-05-06
762974,2012-11-23
780457,2015-10-02
567014,2003-06-12
322777,2002-05-02
139599,2016-07-11
516096,2004-03-10
373990,2008-12-25
316180,2014-05-30
356939,2012-12-27
533160,2009-05-12
119606,2013-12-17
126722,2008-08-17
492891,2015-07-08
061996,2017-10-24
997309,2011-04-20
685419,2016-02-29
751408,2017-05-13
253515,2013-04-04
063275,2002-03-22
406971,2002-10-15
711886,2017-02-13
479448,2016-01-11
870996,2015-02-27
296066,2004-01-17
062916,2006-08-12
052107,2008-11-28
224305,2003-01-16
037668,2015-11-19
063309,2009-06-03
144272,2016-09-11
963187,2014-01-17
963205,2017-12-17
891434,2003-07-27
319249,2014-08-09
880698,2015-11-01
973121,2008-09-16
612526,2015-01-06
740688,2011-07-30
065169,2012-09-10
081020,2004-07-03
870272,2008-10-10
461505,2012-12-22
267269,2005-01-03
029971,2003-04-18
662800,2014-09-27
134309,2016-03-16
251839,2014-07-17
932922,2017-03-26
809053,2012-03-08
160626,2012-06-24
114593,2016-10-12
732472,2014-04-23
290765,2013-07-12
965809,2002-03-09
035370,2015-05-28
875099,2003-02-27
834244,2017-04-21
303259,2012-10-23
127987,2013-09-11
506314,2016-05-18
811334,2009-03-07
898856,2002-04-10
954745,2008-09-26
528269,2003-08-10
700933,2007-09-03
397004,2009-12-01
257925,2016-10-01
567991,2012-10-27
235916,2007-04-19
205670,2006-05-31
828778,2003-12-10
484452,2008-04-21
303442,2014-03-16
955145,2013-11-19
038805,2016-06-23
882703,2006-08-14
396842,2013-12-22
898794,2006-08-13
520362,2003-07-30
384776,2015-07-09
155484,2013-12-30
647926,2011-09-10
309403,2016-07-15
741403,2006-11-08
363495,2017-05-23
003539,2005-01-20
491291,2007-05-05
172942,2006-07-16
256417,2012-10-29
172143,2016-12-15
817185,2008-11-29
308288,2016-04-09
409428,2016-11-24
664329,2007-04-26
619344,2015-07-25
542197,2004-04-11
579454,2015-01-25
539303,2015-05-27
287174,2003-12-07
411087,2004-02-24
526909,2018-08-25
414365,2016-05-28
125638,2010-08-09
598281,2015-06-28
385164,2017-01-07
585212,2012-11-12
466229,2009-08-22
084261,2016-04-25
582107,2002-12-21
895193,2007-12-15
450204,2017-08-17
303586,2015-10-06
349130,2002-08-04
848977,2004-06-12
122796,2018-11-23
880465,2016-07-22
124694,2007-03-16
044554,2012-03-24
432325,2008-09-09
554050,2003-11-02
924268,2009-02-22
245844,2004-05-13
178498,2014-08-06
817187,2015-10-01
108914,2008-08-12
951612,2006-08-28
552840,2014-01-16
670617,2007-06-08
717550,2002-09-09
318250,2005-11-25
168972,2012-09-22
893409,2013-01-20
405165,2007-05-29
031588,2005-07-25
728575,2013-12-07
068977,2009-10-27
936692,2007-07-30
587455,2009-04-15
307437,2004-07-07
459100,2003-10-07
779810,2008-10-18
340067,2017-09-07
030609,2016-05-24
085589,2012-09-18
842319,2005-01-20
522391,2006-07-24
236545,2004-05-21
113922,2012-05-25
168622,2016-07-15
327912,2005-02-15
176391,2008-12-23
748746,2010-03-01
665306,2005-04-15
278472,2005-02-28
401388,2005-12-15
728932,2013-10-02
299506,2013-04-29
155875,2006-11-17
254038,2006-02-08
072947,2006-08-21
306875,2006-11-11
434994,2012-01-07
979297,2006-11-08
089298,2007-03-24
801654,2013-05-01
805554,2018-01-22
965462,2007-08-24
514876,2004-05-31
281345,2014-02-08
996141,2018-10-12
069981,2005-03-05
755307,2015-12-17
729274,2016-02-07
813943,2017-11-04
695751,2003-02-22
805413,2005-10-14
449224,2013-02-13
540310,2014-01-17
931309,2012-10-16
138831,2003-05-11
136888,2010-06-22
154935,2010-03-03
896886,2005-08-03
371451,2018-05-02
318133,2015-01-29
446813,2003-10-03
573132,2016-05-10
775152,2007-04-27
890990,2012-02-07
074864,2007-09-16
752869,2015-09-07
556634,2013-08-12
602691,2010-03-15
655094,2010-11-01
276153,2006-06-30
569488,2016-01-07
028396,2010-02-13
143729,2015-01-13
490412,2006-01-29
692163,2002-12-01
168193,2009-09-30
322622,2004-02-17
376142,2011-03-28
771913,2018-10-26
649929,2006-10-16
766565,2012-11-24
692169,2009-12-07
225358,2004-04-15
967038,2005-01-07
837234,2013-02-02
287962,2010-02-06
845477,2011-07-12
282471,2002-10-11
919665,2004-05-21
162010,2015-09-27
009913,2016-07-01
382881,2003-10-19
296335,2018-03-24
525385,2003-03-06
973061,2006-10-14
667672,2018-01-04
115890,2009-01-23
449255,2014-10-25
100805,2014-02-18
423119,2013-09-14
258695,2007-11-24
190014,2003-08-26
129704,2017-09-28
988123,2013-11-03
381627,2015-04-10
094697,2015-04-11
417070,2015-04-12
966423,2017-03-03
838854,2014-07-12
901328,2011-02-06
040108,2014-04-16
455936,2002-04-20
885819,2017-02-25
236470,2002-07-19
641565,2012-12-01
246517,2017-07-22
208490,2015-01-20
426848,2016-01-03
123527,2010-04-16
233551,2016-09-14
827778,2009-12-24
627899,2005-10-08
337975,2012-12-01
113633,2005-01-07
539899,2004-04-08
916200,2004-09-07
470799,2005-11-26
218622,2005-11-27
531369,2005-11-28
185540,2005-11-29
573370,2005-11-30
271937,2009-04-29
235504,2016-08-04
598303,2010-06-21
184550,2012-07-07
904350,2007-02-10
533435,2018-05-24
782543,2006-01-18
804904,2013-05-19
208611,2006-02-23
644843,2017-09-04
329571,2005-04-16
120238,2013-08-24
868918,2013-03-08
089667,2012-01-12
344926,2005-03-21
931932,2004-02-17
658150,2013-08-19
056735,2002-10-17
039018,2013-01-05
361804,2007-09-09
536560,2018-06-15
260321,2010-12-01
625917,2011-02-11
679781,2009-01-05
651787,2004-09-14
287212,2015-09-11
907128,2015-10-28
452883,2004-10-27
344548,2014-02-23
782137,2007-08-13
927112,2004-07-26
996708,2004-10-25
385808,2015-08-26
284836,2014-07-20
037434,2010-02-06
651843,2011-05-12
071693,2017-08-09
047962,2009-02-21
946516,2008-01-09
689254,2007-12-02
287321,2003-05-14
972271,2013-05-22
779451,2007-11-06
030693,2007-06-06
868249,2009-07-18
853655,2012-06-01
424076,2014-05-26
569433,2011-02-03
151921,2009-11-28
437220,2016-05-24
000890,2006-11-30
622300,2004-01-20
909646,2011-08-23
228748,2013-08-27
703279,2016-05-24
000666,2005-08-08
776937,2009-03-05
414446,2011-03-22
921793,2004-09-03
421472,2013-10-05
197658,2004-04-08
691566,2016-12-26
914364,2018-01-15
740585,2012-07-21
982295,2009-12-28
092364,2018-07-19
910869,2012-12-12
510484,2011-11-29
318359,2011-07-05
651626,2006-09-15
008955,2016-12-31
039440,2012-03-06
450171,2005-09-08
534665,2013-07-16
391523,2005-09-27
964683,2017-04-22
342169,2017-01-15
472540,2013-02-27
609743,2004-11-11
736077,2009-02-14
433183,2014-08-13
988196,2010-09-24
625670,2005-04-04
751896,2017-09-02
191459,2017-04-23
807776,2017-05-26
926419,2011-10-05
246784,2014-02-23
223341,2018-06-30
898894,2011-08-16
876828,2005-02-11
296113,2012-11-20
503100,2010-07-08
550154,2006-09-06
771286,2018-10-22
019321,2011-11-12
